trip_id,driver_id,date,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status
STRIP001,SDRV177,2024-02-06,14:55:00,15:19:00,24,13.8,320.94,1.5,Hitec City,Jayanagar,completed
STRIP002,SDRV039,2024-02-06,11:25:00,11:59:00,34,13.1,314.0,1.5,Andheri West,Gurgaon Cyber City,completed
STRIP003,SDRV140,2024-02-06,13:35:00,14:06:00,31,13.5,279.81,1.2,HSR Layout,Goregaon,completed
STRIP004,SDRV010,2024-02-06,15:40:00,16:10:00,30,12.3,298.94,1.4,Andheri,Banjara Hills,completed
STRIP005,SDRV095,2024-02-06,15:30:00,15:59:00,29,15.7,306.56,1.3,Gurgaon Cyber City,Electronic City,completed
STRIP006,SDRV150,2024-02-06,06:40:00,07:08:00,28,19.1,336.93,1.4,Worli,Hinjewadi,completed
STRIP007,SDRV142,2024-02-06,05:50:00,06:15:00,25,9.1,234.28,1.3,Hinjewadi,HSR Layout,completed
STRIP008,SDRV038,2024-02-06,20:40:00,21:03:00,23,21.0,350.68,1.2,Indiranagar,Banjara Hills,completed
STRIP009,SDRV111,2024-02-06,17:50:00,18:24:00,34,22.2,398.61,1.2,Connaught Place,Jayanagar,completed
STRIP010,SDRV033,2024-02-06,05:30:00,06:06:00,36,13.9,221.88,1.0,Hitec City,Koramangala,completed
STRIP011,SDRV011,2024-02-06,09:50:00,10:13:00,23,10.8,282.36,1.5,Hinjewadi,Goregaon,completed
STRIP012,SDRV079,2024-02-06,22:50:00,23:20:00,30,12.9,340.13,1.6,Powai,HSR Layout,completed
STRIP013,SDRV094,2024-02-06,17:15:00,17:51:00,36,16.1,357.31,1.4,Powai,South Delhi,completed
STRIP014,SDRV200,2024-02-06,05:25:00,05:59:00,34,22.3,499.53,1.6,Viman Nagar,Goregaon,completed
STRIP015,SDRV092,2024-02-06,19:20:00,19:54:00,34,22.0,542.57,1.6,Indiranagar,Electronic City,completed
STRIP016,SDRV054,2024-02-06,10:40:00,11:00:00,20,13.9,292.9,1.4,Electronic City,Connaught Place,completed
STRIP017,SDRV175,2024-02-06,05:50:00,06:09:00,19,17.2,429.17,1.6,South Delhi,BKC,completed
STRIP018,SDRV064,2024-02-06,21:05:00,21:40:00,35,9.8,212.03,1.1,Colaba,Bandra,completed
STRIP019,SDRV171,2024-02-06,15:00:00,15:31:00,31,18.2,408.65,1.4,Viman Nagar,Powai,completed
STRIP020,SDRV027,2024-02-06,18:50:00,19:21:00,31,12.9,293.51,1.3,CP,Goregaon,completed
STRIP021,SDRV091,2024-02-06,10:55:00,11:20:00,25,8.5,193.87,1.1,CP,Powai,completed
STRIP022,SDRV144,2024-02-06,17:25:00,17:50:00,25,19.2,339.9,1.3,Secunderabad,CP,completed
STRIP023,SDRV105,2024-02-06,18:30:00,19:06:00,36,11.2,341.22,1.6,Dwarka,Gurgaon Cyber City,completed
STRIP024,SDRV159,2024-02-06,15:25:00,15:59:00,34,9.7,179.55,1.0,Dwarka,Banjara Hills,completed
STRIP025,SDRV040,2024-02-06,15:00:00,15:38:00,38,14.8,251.02,1.2,South Delhi,Worli,completed
STRIP026,SDRV061,2024-02-06,13:40:00,14:08:00,28,15.4,298.67,1.2,Andheri,Connaught Place,completed
STRIP027,SDRV042,2024-02-06,11:50:00,12:22:00,32,13.8,303.65,1.5,Goregaon,Gurgaon Cyber City,completed
STRIP028,SDRV046,2024-02-06,07:10:00,07:41:00,31,14.1,320.42,1.6,Indiranagar,BKC,completed
STRIP029,SDRV106,2024-02-06,08:25:00,09:01:00,36,18.0,327.83,1.2,Koramangala,BKC,completed
STRIP030,SDRV007,2024-02-06,13:45:00,14:20:00,35,15.7,385.18,1.5,Bandra,Malad,completed
STRIP031,SDRV183,2024-02-06,15:30:00,15:58:00,28,9.0,199.91,1.2,Powai,Malad,completed
STRIP032,SDRV086,2024-02-06,19:05:00,19:33:00,28,18.4,305.56,1.3,Marathahalli,Kharadi,completed
STRIP033,SDRV182,2024-02-06,22:20:00,22:40:00,20,11.8,299.17,1.6,CP,Worli,completed
STRIP034,SDRV172,2024-02-06,16:40:00,17:13:00,33,11.6,202.18,1.0,Whitefield,Jayanagar,completed
STRIP035,SDRV193,2024-02-06,14:40:00,15:08:00,28,16.3,265.04,1.0,Colaba,Worli,completed
STRIP036,SDRV069,2024-02-06,11:40:00,12:06:00,26,19.2,319.21,1.2,BKC,Hinjewadi,completed
STRIP037,SDRV041,2024-02-06,11:50:00,12:15:00,25,21.9,271.35,1.0,Andheri West,Colaba,completed
STRIP038,SDRV028,2024-02-06,21:25:00,21:44:00,19,19.2,310.49,1.3,BKC,Goregaon,completed
STRIP039,SDRV098,2024-02-06,15:55:00,16:30:00,35,14.3,394.83,1.6,Electronic City,CP,completed
STRIP040,SDRV207,2024-02-06,05:00:00,05:33:00,33,16.9,419.06,1.5,Malad,BKC,completed
STRIP041,SDRV121,2024-02-06,16:30:00,16:56:00,26,21.8,346.02,1.3,Hinjewadi,Marathahalli,completed
STRIP042,SDRV057,2024-02-06,13:45:00,14:13:00,28,11.9,200.9,1.0,Colaba,Connaught Place,completed
STRIP043,SDRV052,2024-02-06,09:00:00,09:21:00,21,20.2,433.99,1.4,Dwarka,Whitefield,completed
STRIP044,SDRV118,2024-02-06,12:40:00,13:18:00,38,10.2,261.84,1.4,Secunderabad,Electronic City,completed
STRIP045,SDRV090,2024-02-06,21:05:00,21:32:00,27,13.0,262.96,1.3,Bandra,Jayanagar,completed
STRIP046,SDRV199,2024-02-06,18:20:00,18:46:00,26,18.2,349.9,1.3,CP,Koramangala,completed
STRIP047,SDRV059,2024-02-06,21:10:00,21:37:00,27,9.1,155.63,1.0,Worli,HSR Layout,completed
STRIP048,SDRV058,2024-02-06,09:20:00,09:38:00,18,22.0,307.75,1.2,Hitec City,Jayanagar,completed
STRIP049,SDRV181,2024-02-06,16:40:00,17:00:00,20,12.6,243.64,1.1,Koramangala,Powai,completed
STRIP050,SDRV050,2024-02-06,11:05:00,11:43:00,38,19.5,376.82,1.3,Dwarka,HSR Layout,completed
STRIP051,SDRV103,2024-02-06,19:50:00,20:18:00,28,9.3,247.06,1.3,Kharadi,Hitec City,completed
STRIP052,SDRV085,2024-02-06,07:35:00,08:08:00,33,17.3,270.93,1.0,South Delhi,Electronic City,completed
STRIP053,SDRV072,2024-02-06,18:25:00,18:58:00,33,17.2,399.09,1.4,Secunderabad,Worli,completed
STRIP054,SDRV018,2024-02-06,22:00:00,22:36:00,36,17.4,294.19,1.1,Electronic City,Viman Nagar,completed
STRIP055,SDRV158,2024-02-06,20:05:00,20:24:00,19,17.7,247.2,1.1,Secunderabad,Bandra,completed
STRIP056,SDRV166,2024-02-06,11:35:00,12:05:00,30,22.5,434.03,1.4,Hinjewadi,Kharadi,completed
STRIP057,SDRV131,2024-02-06,05:15:00,05:42:00,27,12.5,260.44,1.4,Hitec City,Colaba,completed
STRIP058,SDRV160,2024-02-06,13:40:00,14:13:00,33,10.8,171.38,1.0,Kharadi,Marathahalli,completed
STRIP059,SDRV138,2024-02-06,09:45:00,10:11:00,26,19.5,470.58,1.6,Goregaon,Koramangala,completed
STRIP060,SDRV187,2024-02-06,07:25:00,07:44:00,19,14.6,295.5,1.3,Viman Nagar,Gurgaon Cyber City,completed
STRIP061,SDRV008,2024-02-06,07:30:00,08:01:00,31,17.4,366.87,1.5,Koramangala,Powai,completed
STRIP062,SDRV030,2024-02-06,22:45:00,23:14:00,29,15.0,278.41,1.1,Electronic City,Hinjewadi,completed
STRIP063,SDRV067,2024-02-06,15:35:00,16:04:00,29,14.4,327.75,1.5,Hitec City,Worli,completed
STRIP064,SDRV180,2024-02-06,11:10:00,11:40:00,30,19.7,392.04,1.4,Bandra,Lower Parel,completed
STRIP065,SDRV068,2024-02-06,20:00:00,20:31:00,31,18.7,322.21,1.2,Kharadi,Viman Nagar,completed
STRIP066,SDRV192,2024-02-06,13:50:00,14:16:00,26,20.7,448.27,1.6,Koramangala,Indiranagar,completed
STRIP067,SDRV173,2024-02-06,15:15:00,15:42:00,27,22.4,336.99,1.3,Worli,Secunderabad,completed
STRIP068,SDRV112,2024-02-06,10:10:00,10:31:00,21,13.6,311.39,1.3,Electronic City,BKC,completed
STRIP069,SDRV089,2024-02-06,16:45:00,17:04:00,19,8.1,161.16,1.1,Koramangala,Kharadi,completed
STRIP070,SDRV081,2024-02-06,13:10:00,13:29:00,19,8.5,180.74,1.1,South Delhi,Goregaon,completed
STRIP071,SDRV143,2024-02-06,17:45:00,18:15:00,30,11.9,271.82,1.4,Banjara Hills,Koramangala,completed
STRIP072,SDRV143,2024-02-06,20:55:00,21:14:00,19,12.9,231.18,1.1,Connaught Place,Hinjewadi,completed
STRIP073,SDRV154,2024-02-06,06:25:00,06:58:00,33,8.0,190.74,1.2,Hitec City,Colaba,completed
STRIP074,SDRV154,2024-02-06,21:25:00,21:49:00,24,20.4,482.54,1.6,Andheri West,Hitec City,completed
STRIP075,SDRV149,2024-02-06,13:50:00,14:20:00,30,12.0,263.64,1.2,South Delhi,Lower Parel,completed
STRIP076,SDRV149,2024-02-06,21:45:00,22:03:00,18,9.6,240.57,1.4,Marathahalli,Malad,completed
STRIP077,SDRV099,2024-02-06,10:40:00,11:00:00,20,21.9,520.17,1.6,Koramangala,Colaba,completed
STRIP078,SDRV099,2024-02-06,05:00:00,05:23:00,23,16.5,332.2,1.2,Indiranagar,Andheri West,completed
STRIP079,SDRV049,2024-02-06,20:25:00,21:01:00,36,16.7,328.76,1.2,Connaught Place,Banjara Hills,completed
STRIP080,SDRV049,2024-02-06,22:50:00,23:28:00,38,18.8,329.4,1.4,Jayanagar,Gurgaon Cyber City,completed
STRIP081,SDRV066,2024-02-06,17:20:00,17:46:00,26,20.1,389.01,1.5,Connaught Place,Dwarka,completed
STRIP082,SDRV066,2024-02-06,15:25:00,16:00:00,35,9.7,255.07,1.6,HSR Layout,Goregaon,completed
STRIP083,SDRV012,2024-02-06,08:10:00,08:36:00,26,8.5,234.71,1.3,Powai,Jayanagar,completed
STRIP084,SDRV012,2024-02-06,16:25:00,17:00:00,35,19.6,372.03,1.3,Indiranagar,Banjara Hills,completed
STRIP085,SDRV208,2024-02-06,12:20:00,12:42:00,22,15.5,289.24,1.2,Secunderabad,BKC,completed
STRIP086,SDRV208,2024-02-06,16:45:00,17:14:00,29,11.8,317.95,1.6,Worli,Secunderabad,completed
STRIP087,SDRV001,2024-02-06,16:35:00,17:03:00,28,22.4,441.49,1.3,South Delhi,Marathahalli,completed
STRIP088,SDRV001,2024-02-06,14:40:00,15:07:00,27,17.0,320.23,1.2,Whitefield,Worli,completed
STRIP089,SDRV051,2024-02-06,09:00:00,09:18:00,18,21.0,480.38,1.5,Worli,Hitec City,completed
STRIP090,SDRV051,2024-02-06,10:05:00,10:32:00,27,13.7,286.38,1.4,CP,South Delhi,completed
STRIP091,SDRV198,2024-02-06,13:10:00,13:38:00,28,8.6,195.93,1.1,Indiranagar,Hitec City,completed
STRIP092,SDRV198,2024-02-06,21:30:00,21:48:00,18,12.8,299.13,1.3,Gurgaon Cyber City,Jayanagar,completed
STRIP093,SDRV202,2024-02-06,05:55:00,06:28:00,33,12.1,226.83,1.2,Bandra,HSR Layout,completed
STRIP094,SDRV202,2024-02-06,20:50:00,21:08:00,18,18.1,296.83,1.3,Worli,Electronic City,completed
STRIP095,SDRV157,2024-02-06,20:00:00,20:29:00,29,22.0,425.01,1.6,Kharadi,CP,completed
STRIP096,SDRV157,2024-02-06,13:05:00,13:41:00,36,22.4,344.13,1.3,Jayanagar,Marathahalli,completed
STRIP097,SDRV122,2024-02-06,19:05:00,19:41:00,36,15.5,416.33,1.6,CP,Whitefield,completed
STRIP098,SDRV122,2024-02-06,22:30:00,22:59:00,29,17.6,388.62,1.5,Dwarka,Gurgaon Cyber City,completed
STRIP099,SDRV179,2024-02-06,08:10:00,08:46:00,36,18.6,347.86,1.3,Secunderabad,Kharadi,completed
STRIP100,SDRV179,2024-02-06,05:45:00,06:21:00,36,11.6,198.11,1.1,Hitec City,Hinjewadi,completed
STRIP101,SDRV167,2024-02-06,15:40:00,16:01:00,21,12.8,272.47,1.4,Andheri West,Indiranagar,completed
STRIP102,SDRV167,2024-02-06,12:00:00,12:37:00,37,9.5,292.1,1.6,Gurgaon Cyber City,Kharadi,completed
STRIP103,SDRV043,2024-02-06,07:05:00,07:26:00,21,20.8,522.21,1.6,Goregaon,Kharadi,completed
STRIP104,SDRV043,2024-02-06,14:20:00,14:47:00,27,20.7,246.03,1.0,Malad,South Delhi,completed
STRIP105,SDRV080,2024-02-06,16:10:00,16:45:00,35,11.3,274.92,1.3,Connaught Place,Indiranagar,completed
STRIP106,SDRV080,2024-02-06,05:15:00,05:33:00,18,16.1,386.29,1.5,Lower Parel,Marathahalli,completed
STRIP107,SDRV174,2024-02-06,08:00:00,08:23:00,23,10.8,221.04,1.3,Dwarka,Secunderabad,completed
STRIP108,SDRV174,2024-02-06,18:55:00,19:19:00,24,16.1,237.89,1.1,HSR Layout,Worli,completed
STRIP109,SDRV151,2024-02-06,06:35:00,07:00:00,25,8.1,222.72,1.3,BKC,Colaba,completed
STRIP110,SDRV151,2024-02-06,21:40:00,22:00:00,20,12.1,213.23,1.2,Kharadi,South Delhi,completed
STRIP111,SDRV109,2024-02-06,12:10:00,12:37:00,27,20.2,382.6,1.4,CP,Koramangala,completed
STRIP112,SDRV109,2024-02-06,19:45:00,20:06:00,21,18.9,378.08,1.3,Marathahalli,Lower Parel,completed
STRIP113,SDRV016,2024-02-06,18:50:00,19:11:00,21,19.2,306.35,1.0,Dwarka,BKC,completed
STRIP114,SDRV016,2024-02-06,12:00:00,12:21:00,21,19.2,460.83,1.6,Colaba,South Delhi,completed
STRIP115,SDRV093,2024-02-06,19:20:00,19:47:00,27,8.8,244.85,1.6,Hitec City,South Delhi,completed
STRIP116,SDRV093,2024-02-06,16:20:00,16:55:00,35,22.4,415.71,1.3,BKC,Whitefield,completed
STRIP117,SDRV116,2024-02-06,11:45:00,12:12:00,27,17.4,390.85,1.5,Powai,Bandra,completed
STRIP118,SDRV116,2024-02-06,20:15:00,20:41:00,26,9.0,290.52,1.6,Koramangala,Powai,completed
STRIP119,SDRV209,2024-02-06,15:20:00,15:45:00,25,19.9,414.88,1.6,Connaught Place,Koramangala,completed
STRIP120,SDRV209,2024-02-06,16:30:00,16:48:00,18,10.3,181.7,1.0,Lower Parel,Dwarka,completed
STRIP121,SDRV065,2024-02-06,18:10:00,18:47:00,37,9.5,188.46,1.0,Lower Parel,CP,completed
STRIP122,SDRV065,2024-02-06,10:00:00,10:29:00,29,20.0,395.8,1.5,Andheri West,Hinjewadi,completed
STRIP123,SDRV186,2024-02-06,19:35:00,20:10:00,35,19.2,301.52,1.2,Connaught Place,Marathahalli,completed
STRIP124,SDRV186,2024-02-06,09:50:00,10:10:00,20,20.6,486.26,1.5,Secunderabad,Koramangala,completed
STRIP125,SDRV126,2024-02-06,06:55:00,07:13:00,18,18.6,385.41,1.3,Whitefield,Koramangala,completed
STRIP126,SDRV126,2024-02-06,07:05:00,07:41:00,36,22.0,516.62,1.6,Andheri West,Connaught Place,completed
STRIP127,SDRV053,2024-02-06,18:30:00,18:57:00,27,12.5,294.06,1.5,Hinjewadi,Gurgaon Cyber City,completed
STRIP128,SDRV053,2024-02-06,07:05:00,07:38:00,33,18.8,319.11,1.3,CP,Electronic City,completed
STRIP129,SDRV184,2024-02-06,08:30:00,09:06:00,36,18.4,402.93,1.5,BKC,Lower Parel,completed
STRIP130,SDRV184,2024-02-06,11:20:00,11:47:00,27,15.9,217.33,1.0,Dwarka,Jayanagar,completed
STRIP131,SDRV168,2024-02-06,05:55:00,06:17:00,22,9.3,192.14,1.2,BKC,Marathahalli,completed
STRIP132,SDRV168,2024-02-06,21:55:00,22:22:00,27,15.7,206.72,1.0,Jayanagar,Koramangala,completed
STRIP133,SDRV155,2024-02-06,11:15:00,11:49:00,34,12.3,267.91,1.2,Kharadi,Lower Parel,completed
STRIP134,SDRV155,2024-02-06,12:55:00,13:33:00,38,10.7,240.99,1.3,Viman Nagar,Colaba,completed
STRIP135,SDRV203,2024-02-06,08:05:00,08:23:00,18,16.7,279.58,1.1,CP,Indiranagar,completed
STRIP136,SDRV203,2024-02-06,16:15:00,16:38:00,23,16.1,290.32,1.3,Banjara Hills,Worli,completed
STRIP137,SDRV071,2024-02-06,17:00:00,17:21:00,21,17.4,362.83,1.5,Marathahalli,Indiranagar,completed
STRIP138,SDRV071,2024-02-06,21:50:00,22:20:00,30,14.3,275.78,1.1,Goregaon,Marathahalli,completed
STRIP139,SDRV017,2024-02-06,08:35:00,08:56:00,21,14.7,261.37,1.1,Malad,Powai,completed
STRIP140,SDRV017,2024-02-06,06:40:00,07:06:00,26,22.1,448.86,1.4,BKC,Banjara Hills,completed
STRIP141,SDRV025,2024-02-06,13:05:00,13:36:00,31,19.0,426.16,1.4,Lower Parel,Whitefield,completed
STRIP142,SDRV025,2024-02-06,19:30:00,20:07:00,37,18.5,311.78,1.1,Malad,South Delhi,completed
STRIP143,SDRV195,2024-02-06,15:35:00,15:56:00,21,9.5,248.77,1.4,Connaught Place,Whitefield,completed
STRIP144,SDRV195,2024-02-06,08:00:00,08:18:00,18,15.0,233.88,1.1,Banjara Hills,Koramangala,completed
STRIP145,SDRV113,2024-02-06,14:50:00,15:15:00,25,19.2,458.83,1.5,Kharadi,Koramangala,completed
STRIP146,SDRV113,2024-02-06,10:25:00,10:44:00,19,15.7,339.33,1.3,Dwarka,Hitec City,completed
STRIP147,SDRV136,2024-02-06,10:25:00,10:44:00,19,20.0,402.94,1.5,Cyber City,Bandra,completed
STRIP148,SDRV136,2024-02-06,05:10:00,05:34:00,24,22.2,440.7,1.6,Indiranagar,Koramangala,completed
STRIP149,SDRV087,2024-02-06,14:55:00,15:27:00,32,19.9,290.97,1.2,Viman Nagar,Colaba,completed
STRIP150,SDRV087,2024-02-06,19:25:00,19:57:00,32,21.8,371.32,1.4,HSR Layout,Hinjewadi,completed
STRIP151,SDRV096,2024-02-06,08:20:00,08:56:00,36,16.6,253.74,1.0,Malad,Bandra,completed
STRIP152,SDRV096,2024-02-06,14:25:00,14:55:00,30,12.3,269.29,1.2,Secunderabad,Lower Parel,completed
STRIP153,SDRV096,2024-02-06,17:30:00,18:07:00,37,17.1,324.46,1.2,HSR Layout,Koramangala,completed
STRIP154,SDRV023,2024-02-06,18:35:00,19:05:00,30,15.0,311.54,1.3,Worli,South Delhi,completed
STRIP155,SDRV023,2024-02-06,19:40:00,20:09:00,29,16.7,319.15,1.2,Gurgaon Cyber City,Hinjewadi,completed
STRIP156,SDRV023,2024-02-06,14:40:00,15:08:00,28,8.6,247.11,1.6,South Delhi,Hitec City,completed
STRIP157,SDRV165,2024-02-06,11:25:00,11:52:00,27,18.5,299.09,1.1,Marathahalli,South Delhi,completed
STRIP158,SDRV165,2024-02-06,13:10:00,13:41:00,31,14.9,377.44,1.6,Viman Nagar,Andheri West,completed
STRIP159,SDRV165,2024-02-06,15:15:00,15:39:00,24,14.8,242.46,1.0,South Delhi,South Delhi,completed
STRIP160,SDRV073,2024-02-06,10:00:00,10:36:00,36,14.3,255.97,1.3,Colaba,Viman Nagar,completed
STRIP161,SDRV073,2024-02-06,17:10:00,17:31:00,21,8.3,201.71,1.2,Indiranagar,Worli,completed
STRIP162,SDRV073,2024-02-06,17:15:00,17:39:00,24,15.9,286.29,1.2,Connaught Place,Hitec City,completed
STRIP163,SDRV117,2024-02-06,19:55:00,20:14:00,19,13.8,243.09,1.2,Colaba,HSR Layout,completed
STRIP164,SDRV117,2024-02-06,05:25:00,05:51:00,26,11.0,327.97,1.6,Whitefield,Gurgaon Cyber City,completed
STRIP165,SDRV117,2024-02-06,19:00:00,19:21:00,21,21.9,379.12,1.3,Gurgaon Cyber City,Hitec City,completed
STRIP166,SDRV110,2024-02-06,10:50:00,11:25:00,35,17.1,267.1,1.0,Viman Nagar,Electronic City,completed
STRIP167,SDRV110,2024-02-06,17:00:00,17:34:00,34,15.3,377.04,1.6,Goregaon,Secunderabad,completed
STRIP168,SDRV110,2024-02-06,19:35:00,20:03:00,28,16.5,342.3,1.6,Dwarka,CP,completed
STRIP169,SDRV107,2024-02-06,20:50:00,21:16:00,26,16.8,254.57,1.0,Secunderabad,Jayanagar,completed
STRIP170,SDRV107,2024-02-06,17:55:00,18:29:00,34,17.5,434.17,1.5,Colaba,Malad,completed
STRIP171,SDRV107,2024-02-06,15:35:00,15:58:00,23,13.2,329.39,1.6,Worli,Viman Nagar,completed
STRIP172,SDRV132,2024-02-06,11:05:00,11:32:00,27,20.1,415.61,1.6,Lower Parel,Hitec City,completed
STRIP173,SDRV132,2024-02-06,22:00:00,22:34:00,34,13.9,247.13,1.1,Bandra,Powai,completed
STRIP174,SDRV132,2024-02-06,17:55:00,18:26:00,31,13.4,343.48,1.6,Indiranagar,Viman Nagar,completed
STRIP175,SDRV100,2024-02-06,12:30:00,12:56:00,26,9.0,184.51,1.1,Indiranagar,BKC,completed
STRIP176,SDRV100,2024-02-06,18:30:00,18:50:00,20,13.9,246.58,1.1,Marathahalli,Powai,completed
STRIP177,SDRV100,2024-02-06,18:10:00,18:40:00,30,17.6,273.01,1.2,Dwarka,Malad,completed
STRIP178,SDRV037,2024-02-06,19:25:00,19:56:00,31,12.5,319.92,1.6,Worli,Electronic City,completed
STRIP179,SDRV037,2024-02-06,20:20:00,20:56:00,36,8.1,262.18,1.6,Powai,Electronic City,completed
STRIP180,SDRV037,2024-02-06,19:00:00,19:30:00,30,13.8,305.23,1.5,Viman Nagar,Goregaon,completed
STRIP181,SDRV191,2024-02-06,22:50:00,23:12:00,22,20.8,311.49,1.1,Indiranagar,Worli,completed
STRIP182,SDRV191,2024-02-06,18:20:00,18:44:00,24,14.5,234.82,1.0,Hinjewadi,Koramangala,completed
STRIP183,SDRV191,2024-02-06,18:20:00,18:41:00,21,14.5,345.15,1.5,Goregaon,Goregaon,completed
STRIP184,SDRV056,2024-02-06,05:50:00,06:27:00,37,11.7,228.5,1.2,Dwarka,Kharadi,completed
STRIP185,SDRV056,2024-02-06,21:45:00,22:10:00,25,16.8,309.88,1.3,Banjara Hills,Powai,completed
STRIP186,SDRV056,2024-02-06,05:40:00,06:09:00,29,19.3,404.4,1.4,Dwarka,Koramangala,completed
STRIP187,SDRV075,2024-02-06,12:45:00,13:12:00,27,20.5,434.65,1.5,Lower Parel,Hinjewadi,completed
STRIP188,SDRV075,2024-02-06,07:45:00,08:14:00,29,8.5,181.55,1.0,Andheri West,Hitec City,completed
STRIP189,SDRV075,2024-02-06,11:15:00,11:35:00,20,11.4,208.27,1.2,Dwarka,HSR Layout,completed
STRIP190,SDRV075,2024-02-06,20:55:00,21:26:00,31,11.3,232.1,1.3,Andheri West,Colaba,completed
STRIP191,SDRV078,2024-02-06,08:40:00,08:59:00,19,9.5,196.04,1.1,Worli,Secunderabad,completed
STRIP192,SDRV078,2024-02-06,07:45:00,08:17:00,32,13.8,347.02,1.6,Malad,Whitefield,completed
STRIP193,SDRV078,2024-02-06,16:30:00,17:02:00,32,8.3,188.55,1.2,Connaught Place,Banjara Hills,completed
STRIP194,SDRV078,2024-02-06,16:15:00,16:53:00,38,16.4,319.03,1.4,Electronic City,Bandra,completed
STRIP195,SDRV084,2024-02-06,10:45:00,11:13:00,28,13.0,338.68,1.6,CP,Connaught Place,completed
STRIP196,SDRV084,2024-02-06,08:30:00,08:50:00,20,9.9,197.86,1.2,Banjara Hills,Colaba,completed
STRIP197,SDRV084,2024-02-06,22:35:00,23:12:00,37,18.6,313.15,1.3,South Delhi,CP,completed
STRIP198,SDRV084,2024-02-06,22:10:00,22:31:00,21,18.6,288.5,1.2,Secunderabad,Connaught Place,completed
STRIP199,SDRV129,2024-02-06,20:55:00,21:17:00,22,22.0,445.55,1.6,Goregaon,Connaught Place,completed
STRIP200,SDRV129,2024-02-06,12:10:00,12:41:00,31,22.2,465.34,1.6,Indiranagar,Malad,completed
STRIP201,SDRV129,2024-02-06,07:25:00,07:43:00,18,11.5,273.29,1.3,Secunderabad,Kharadi,completed
STRIP202,SDRV129,2024-02-06,06:35:00,07:11:00,36,19.1,265.59,1.1,Lower Parel,Hinjewadi,completed
STRIP203,SDRV060,2024-02-06,21:05:00,21:39:00,34,21.3,331.73,1.1,Bandra,Bandra,completed
STRIP204,SDRV060,2024-02-06,19:25:00,20:02:00,37,20.0,440.04,1.5,Marathahalli,Lower Parel,completed
STRIP205,SDRV060,2024-02-06,19:20:00,19:50:00,30,13.1,251.09,1.3,Bandra,Whitefield,completed
STRIP206,SDRV060,2024-02-06,22:05:00,22:35:00,30,12.6,314.26,1.4,Hinjewadi,Hitec City,completed
STRIP207,SDRV169,2024-02-06,12:45:00,13:23:00,38,18.9,238.04,1.0,Lower Parel,Connaught Place,completed
STRIP208,SDRV169,2024-02-06,21:50:00,22:14:00,24,9.6,236.31,1.3,HSR Layout,Andheri,completed
STRIP209,SDRV169,2024-02-06,05:15:00,05:49:00,34,21.4,346.45,1.2,Whitefield,Secunderabad,completed
STRIP210,SDRV169,2024-02-06,16:25:00,17:01:00,36,20.7,271.86,1.0,Bandra,Colaba,completed
STRIP211,SDRV083,2024-02-06,14:40:00,15:16:00,36,13.4,243.73,1.2,Powai,Lower Parel,completed
STRIP212,SDRV083,2024-02-06,19:20:00,19:51:00,31,12.8,322.0,1.5,Whitefield,Lower Parel,completed
STRIP213,SDRV083,2024-02-06,19:20:00,19:50:00,30,16.2,281.1,1.2,Lower Parel,South Delhi,completed
STRIP214,SDRV083,2024-02-06,17:25:00,17:54:00,29,16.6,323.74,1.3,Viman Nagar,HSR Layout,completed
STRIP215,SDRV083,2024-02-06,22:30:00,22:57:00,27,8.2,247.28,1.5,Kharadi,Hinjewadi,completed
STRIP216,SDRV189,2024-02-06,12:55:00,13:16:00,21,17.3,270.95,1.0,Secunderabad,Andheri,completed
STRIP217,SDRV189,2024-02-06,19:20:00,19:48:00,28,15.9,294.49,1.1,South Delhi,Powai,completed
STRIP218,SDRV189,2024-02-06,15:00:00,15:35:00,35,21.3,319.73,1.0,Gurgaon Cyber City,Andheri West,completed
STRIP219,SDRV189,2024-02-06,18:10:00,18:30:00,20,10.2,256.32,1.4,Koramangala,Hinjewadi,completed
STRIP220,SDRV189,2024-02-06,11:55:00,12:18:00,23,14.9,311.79,1.4,BKC,Powai,completed
